atomic_id,table_id,module,surface,area,checkpoint_id,severity,observed,expected,recommendation,evidence_path,verified_status,evidence_gate_status
T11-MENU_1_2_3-M16,T11,Interview,Assigned,MENU_1_2_3,M16,P1,Clear is text-only,Clear includes X,Add X icon,tables/T11/evidence/T11__interview-assigned__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-MENU_1_2_3-M26,T11,Interview,Assigned,MENU_1_2_3,M26,P0,1484px table exceeds physical 1280 viewport,No clipping at 1280x720,Implement responsive sizing/overflow,tables/T11/evidence/T11__interview-assigned__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-PPM-C12,T11,Interview,Assigned,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T11/evidence/T11__interview-assigned__PPM__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-PREVIEW-P25,T11,Interview,Assigned,PREVIEW,P25,P1,Word counter reports about 20 words,Details prose 80–140 words,Generate useful assignment context,tables/T11/evidence/T11__interview-assigned__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-PREVIEW-P29,T11,Interview,Assigned,PREVIEW,P29,P1,Category and Linked session appear without the specified Relations card anatomy,Canonical Relations block,Use the 64px Relations region,tables/T11/evidence/T11__interview-assigned__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T11-TABLE-T01,T11,Interview,Assigned,TABLE,T01,P0,Table is 1484px wide and exceeds even the 1440 viewport,Table fits content or exposes usable overflow,Use zero-sum columns or explicit reachable horizontal overflow,tables/T11/evidence/T11__interview-assigned__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-KEBAB-K10,T12,Interview,Templates,KEBAB,K10,P2,Seven flat actions include overlapping Clone/Open/Edit pathways without grouping,Only necessary contextual actions,Reduce or group secondary actions and keep the primary contextual set,tables/T12/evidence/T12__interview-templates__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-KEBAB-K18,T12,Interview,Templates,KEBAB,K18,P1,Menu width is 160px,Width 220–320px,Use canonical width,tables/T12/evidence/T12__interview-templates__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-KEBAB-K19,T12,Interview,Templates,KEBAB,K19,P1,Six items are 28px and View usage is 32px,Items h=36px,Use consistent h-9 items,tables/T12/evidence/T12__interview-templates__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-MENU_1_2_3-M05,T12,Interview,Templates,MENU_1_2_3,M05,P1,Five Menu 2 labels embed circled counters,No counters in Menu 2 tabs,Remove counters from navigation labels,tables/T12/evidence/T12__interview-templates__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-MENU_1_2_3-M16,T12,Interview,Templates,MENU_1_2_3,M16,P1,Clear is text-only; Archive is the only contextual bulk action,Clear includes X,Add the X icon to Clear,tables/T12/evidence/T12__interview-templates__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-PPM-C12,T12,Interview,Templates,PPM,C12,P1,PPM inherits the non-canonical 160px width and 28/32px items,Canonical shared graphics,Fix the shared menu component,tables/T12/evidence/T12__interview-templates__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-PREVIEW-P25,T12,Interview,Templates,PREVIEW,P25,P1,Details counter reports about 12 words,Details prose 80–140 words,Generate useful template context within the canonical range,tables/T12/evidence/T12__interview-templates__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T12-PREVIEW-P29,T12,Interview,Templates,PREVIEW,P29,P1,Audience appears inline and no canonical Relations region is present,Canonical 64px Relations block,Add the standard Relations block,tables/T12/evidence/T12__interview-templates__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-KEBAB-K10,T13,Interview,Insights,KEBAB,K10,P1,Eight actions plus a Convert to label create an unprioritized flat menu,Only necessary contextual actions,Move conversion into a submenu and retain necessary primary actions,tables/T13/evidence/T13__interview-insights__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-KEBAB-K18,T13,Interview,Insights,KEBAB,K18,P1,Menu width is about 172px,Width 220–320px,Use canonical width,tables/T13/evidence/T13__interview-insights__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-KEBAB-K19,T13,Interview,Insights,KEBAB,K19,P1,Seven items are 28px and disabled Edit is 46px,Items h=36px,Use consistent h-9 items,tables/T13/evidence/T13__interview-insights__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-MENU_1_2_3-M05,T13,Interview,Insights,MENU_1_2_3,M05,P1,Five navigation tabs embed circled counters,No counters in Menu 2 tabs,Remove counters,tables/T13/evidence/T13__interview-insights__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-MENU_1_2_3-M16,T13,Interview,Insights,MENU_1_2_3,M16,P1,Clear is text-only; Export CSV and Archive are contextual,Clear includes X,Add X to Clear,tables/T13/evidence/T13__interview-insights__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-PPM-C12,T13,Interview,Insights,PPM,C12,P1,PPM repeats the 172px and 28/46px non-canonical geometry,Canonical shared graphics,Fix the shared menu component,tables/T13/evidence/T13__interview-insights__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-PREVIEW-P25,T13,Interview,Insights,PREVIEW,P25,P1,Details counter reports about 277 words,Details prose 80–140 words,Summarize the main insight in the canonical range,tables/T13/evidence/T13__interview-insights__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T13-PREVIEW-P29,T13,Interview,Insights,PREVIEW,P29,P1,No canonical 64px Relations region is present,Canonical Relations block,Add sources and outputs in the Relations block,tables/T13/evidence/T13__interview-insights__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-KEBAB-K18,T14,Interview,Initiatives,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T14/evidence/T14__interview-initiatives__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-KEBAB-K19,T14,Interview,Initiatives,KEBAB,K19,P1,All three items are 28px,Items h=36px,Use h-9 items,tables/T14/evidence/T14__interview-initiatives__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-MENU_1_2_3-M05,T14,Interview,Initiatives,MENU_1_2_3,M05,P1,Five navigation tabs embed circled counters,No counters in Menu 2 tabs,Remove counters,tables/T14/evidence/T14__interview-initiatives__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-MENU_1_2_3-M16,T14,Interview,Initiatives,MENU_1_2_3,M16,P1,Clear is text-only; Archive remains visible but disabled,Clear includes X and unavailable actions are visibly disabled,Add X to Clear; disabled styling is acceptable,tables/T14/evidence/T14__interview-initiatives__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-PPM-C12,T14,Interview,Initiatives,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T14/evidence/T14__interview-initiatives__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-PREVIEW-P25,T14,Interview,Initiatives,PREVIEW,P25,P0,Details says No description,Details prose 80–140 words,Generate a useful initiative description,tables/T14/evidence/T14__interview-initiatives__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T14-PREVIEW-P29,T14,Interview,Initiatives,PREVIEW,P29,P1,Source is shown as a loose chip instead of the standard region,Canonical Relations block,Use the 64px Relations block,tables/T14/evidence/T14__interview-initiatives__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-KEBAB-K18,T15,Consulting Tools,Library,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T15/evidence/T15__tools-library__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-KEBAB-K19,T15,Consulting Tools,Library,KEBAB,K19,P1,All four items are 28px,Items h=36px,Use h-9 items,tables/T15/evidence/T15__tools-library__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-MENU_1_2_3-M14,T15,Consulting Tools,Library,MENU_1_2_3,M14,P0,Checkbox becomes selected but no bulk menu or selected-count control appears,Selection replaces filters with contextual Menu 3,Implement the canonical dynamic bulk bar,tables/T15/evidence/T15__tools-library__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-PPM-C12,T15,Consulting Tools,Library,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T15/evidence/T15__tools-library__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-PREVIEW-P01,T15,Consulting Tools,Library,PREVIEW,P01,P1,Row click does nothing; Preview is available only through kebab,Single row click opens preview,Make row click open the same preview,tables/T15/evidence/T15__tools-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-PREVIEW-P25,T15,Consulting Tools,Library,PREVIEW,P25,P1,Details is a short label/value grid with roughly 40 words and no word counter,Canonical 80–140 word Details region,Provide canonical useful prose while retaining key metadata,tables/T15/evidence/T15__tools-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-PREVIEW-P29,T15,Consulting Tools,Library,PREVIEW,P29,P1,No standard Relations region is present,Canonical Relations block,Add relations to sessions and outputs,tables/T15/evidence/T15__tools-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T15-TABLE-T08,T15,Consulting Tools,Library,TABLE,T08,P1,Header is 48px and rows are 48.5–49px,Canonical stable 56px rows,Use the standard row rhythm,tables/T15/evidence/T15__tools-library__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-KEBAB-K18,T16,Consulting Tools,Sessions or Processes,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T16/evidence/T16__tools-sessions__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-KEBAB-K19,T16,Consulting Tools,Sessions or Processes,KEBAB,K19,P1,All three items are 28px,Items h=36px,Use h-9 items,tables/T16/evidence/T16__tools-sessions__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-MENU_1_2_3-M14,T16,Consulting Tools,Sessions or Processes,MENU_1_2_3,M14,P0,Selected checkbox produces no contextual bulk bar,Selection activates Menu 3,Implement Menu 3,tables/T16/evidence/T16__tools-sessions__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-MENU_1_2_3-M26,T16,Consulting Tools,Sessions or Processes,MENU_1_2_3,M26,P0,Table extends 25px beyond viewport with no reachable page overflow,No clipping at 1280x720,Fix responsive layout,tables/T16/evidence/T16__tools-sessions__MENU_1_2_3__base__1280x720__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-PPM-C12,T16,Consulting Tools,Sessions or Processes,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T16/evidence/T16__tools-sessions__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-PREVIEW-P25,T16,Consulting Tools,Sessions or Processes,PREVIEW,P25,P1,Details contains about 10 words of placeholder guidance,Details prose 80–140 words,Generate the actual session brief,tables/T16/evidence/T16__tools-sessions__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-PREVIEW-P29,T16,Consulting Tools,Sessions or Processes,PREVIEW,P29,P1,Preview says No relations without the standard region,Canonical Relations block,Render the 64px Relations block including an empty state,tables/T16/evidence/T16__tools-sessions__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-TABLE-T01,T16,Consulting Tools,Sessions or Processes,TABLE,T01,P0,At 1280 the table right edge is x=1305 while document scrollWidth remains 1280,Fit or reachable overflow,Fit columns or expose horizontal overflow,tables/T16/evidence/T16__tools-sessions__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T16-TABLE-T08,T16,Consulting Tools,Sessions or Processes,TABLE,T08,P1,Header is 48px and rows 48.5–49px,Canonical 56px rows,Use standard row rhythm,tables/T16/evidence/T16__tools-sessions__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-KEBAB-K18,T17,Consulting Tools,Outputs,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T17/evidence/T17__tools-outputs__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-KEBAB-K19,T17,Consulting Tools,Outputs,KEBAB,K19,P1,All three items are 28px,Items h=36px,Use h-9 items,tables/T17/evidence/T17__tools-outputs__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-MENU_1_2_3-M14,T17,Consulting Tools,Outputs,MENU_1_2_3,M14,P0,Selected checkbox produces no contextual bulk bar,Selection activates Menu 3,Implement Menu 3,tables/T17/evidence/T17__tools-outputs__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-PPM-C12,T17,Consulting Tools,Outputs,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T17/evidence/T17__tools-outputs__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-PREVIEW-P25,T17,Consulting Tools,Outputs,PREVIEW,P25,P0,No Details section or descriptive content is rendered,Canonical Details block,Add an 80–140 word output summary,tables/T17/evidence/T17__tools-outputs__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-PREVIEW-P29,T17,Consulting Tools,Outputs,PREVIEW,P29,P1,No relations appears without the standard region,Canonical Relations block,Render canonical Relations empty state,tables/T17/evidence/T17__tools-outputs__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T17-TABLE-T08,T17,Consulting Tools,Outputs,TABLE,T08,P1,Header 48px and rows 48.5–49px,Canonical 56px rows,Use standard row rhythm,tables/T17/evidence/T17__tools-outputs__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-KEBAB-K18,T18,Consulting Tools,Reports,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T18/evidence/T18__tools-reports__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-KEBAB-K19,T18,Consulting Tools,Reports,KEBAB,K19,P1,28px,Items h=36px,Use h-9 items,tables/T18/evidence/T18__tools-reports__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-MENU_1_2_3-M14,T18,Consulting Tools,Reports,MENU_1_2_3,M14,P0,No contextual bar appears,Selection activates Menu 3,Implement Menu 3,tables/T18/evidence/T18__tools-reports__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-PPM-C12,T18,Consulting Tools,Reports,PPM,C12,P1,160px/28px,Canonical shared graphics,Fix shared component,tables/T18/evidence/T18__tools-reports__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-PREVIEW-P25,T18,Consulting Tools,Reports,PREVIEW,P25,P0,No Details or summary exists,Canonical Details block,Add 80–140 word report summary,tables/T18/evidence/T18__tools-reports__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-PREVIEW-P29,T18,Consulting Tools,Reports,PREVIEW,P29,P1,Loose No relations text,Canonical Relations block,Render canonical empty state,tables/T18/evidence/T18__tools-reports__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T18-TABLE-T08,T18,Consulting Tools,Reports,TABLE,T08,P1,48–49px,Canonical 56px rows,Normalize row rhythm,tables/T18/evidence/T18__tools-reports__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-KEBAB-K18,T19,Consulting Tools,Initiatives,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T19/evidence/T19__tools-initiatives__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-KEBAB-K19,T19,Consulting Tools,Initiatives,KEBAB,K19,P1,28px,Items h=36px,Use h-9 items,tables/T19/evidence/T19__tools-initiatives__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-MENU_1_2_3-M14,T19,Consulting Tools,Initiatives,MENU_1_2_3,M14,P0,No contextual bar appears,Selection activates Menu 3,Implement Menu 3,tables/T19/evidence/T19__tools-initiatives__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-PPM-C12,T19,Consulting Tools,Initiatives,PPM,C12,P1,160px/28px,Canonical shared graphics,Fix shared component,tables/T19/evidence/T19__tools-initiatives__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-PREVIEW-P25,T19,Consulting Tools,Initiatives,PREVIEW,P25,P1,About 31 words,Details 80–140 words,Expand useful context,tables/T19/evidence/T19__tools-initiatives__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-PREVIEW-P29,T19,Consulting Tools,Initiatives,PREVIEW,P29,P1,Source and Tasks are loose chips,Canonical Relations block,Use standard 64px Relations region,tables/T19/evidence/T19__tools-initiatives__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T19-TABLE-T08,T19,Consulting Tools,Initiatives,TABLE,T08,P1,48–49px,Canonical 56px rows,Normalize row rhythm,tables/T19/evidence/T19__tools-initiatives__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-KEBAB-K10,T20,Assessment,Library,KEBAB,K10,P1,Only Start duplicates the visible row button; Preview is missing,Necessary contextual actions,Remove duplication and expose Preview if appropriate,tables/T20/evidence/T20__assessment-library__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-KEBAB-K18,T20,Assessment,Library,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T20/evidence/T20__assessment-library__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-KEBAB-K19,T20,Assessment,Library,KEBAB,K19,P1,Start is 28px,Items h=36px,Use h-9 item,tables/T20/evidence/T20__assessment-library__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-MENU_1_2_3-M14,T20,Assessment,Library,MENU_1_2_3,M14,P0,No selection controls exist; Menu 3 cannot be invoked,Selection activates Menu 3,Add standard selection and contextual Menu 3,tables/T20/evidence/T20__assessment-library__MENU_1_2_3__base__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-PPM-C12,T20,Assessment,Library,PPM,C12,P1,160px/28px,Canonical shared graphics,Fix shared component,tables/T20/evidence/T20__assessment-library__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-PREVIEW-P01,T20,Assessment,Library,PREVIEW,P01,P0,Row click does nothing and kebab exposes no Preview action,Single click opens preview,Implement canonical preview,tables/T20/evidence/T20__assessment-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-PREVIEW-P25,T20,Assessment,Library,PREVIEW,P25,P0,Preview is unavailable,Canonical Details block,Implement 80–140 word Details,tables/T20/evidence/T20__assessment-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-PREVIEW-P29,T20,Assessment,Library,PREVIEW,P29,P0,Preview is unavailable,Canonical Relations block,Implement Relations,tables/T20/evidence/T20__assessment-library__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-TABLE-T08,T20,Assessment,Library,TABLE,T08,P1,Header 56px but body rows are 60.5–61px,Canonical 56px rows,Normalize body row height,tables/T20/evidence/T20__assessment-library__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T20-TABLE-T12,T20,Assessment,Library,TABLE,T12,P1,Start is duplicated in both Actions and Row actions while table lacks selection,Useful non-duplicative columns,Remove duplicate action and add standard selection column,tables/T20/evidence/T20__assessment-library__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-KEBAB-K18,T21,Assessment,Processes,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T21/evidence/T21__assessment-processes__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-KEBAB-K19,T21,Assessment,Processes,KEBAB,K19,P1,Five items are 28px,Items h=36px,Use h-9 items,tables/T21/evidence/T21__assessment-processes__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-MENU_1_2_3-M16,T21,Assessment,Processes,MENU_1_2_3,M16,P1,Clear is rendered as text without the required X icon,Clear includes X,Add X to Clear while retaining the minimal action set,tables/T21/evidence/T21__assessment-processes__MENU_1_2_3__bulk-1-selected__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-PPM-C12,T21,Assessment,Processes,PPM,C12,P1,PPM inherits 160px/28px geometry,Canonical shared graphics,Fix shared component,tables/T21/evidence/T21__assessment-processes__PPM__row-context__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-PREVIEW-P25,T21,Assessment,Processes,PREVIEW,P25,P0,Details is a nested Property/Value table with only Type and Progress,Details is 80–140 word prose,Replace nested table with canonical descriptive block,tables/T21/evidence/T21__assessment-processes__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T21-PREVIEW-P29,T21,Assessment,Processes,PREVIEW,P29,P1,Loose No relations text,Canonical Relations block,Render canonical 64px empty state,tables/T21/evidence/T21__assessment-processes__PREVIEW__row-open__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T22-KEBAB-K01,T22,Assessment,Outputs,KEBAB,K01,P0,No rows or kebab exist,Every row exposes kebab actions,Implement contextual kebab on output rows,tables/T22/evidence/T22__assessment-outputs__KEBAB__unavailable-no-row__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T22-MENU_1_2_3-M14,T22,Assessment,Outputs,MENU_1_2_3,M14,P0,No table selection or Menu 3 exists,Selection activates Menu 3,Implement selection and contextual bulk menu,tables/T22/evidence/T22__assessment-outputs__MENU_1_2_3__base-no-selection__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T22-PPM-C01,T22,Assessment,Outputs,PPM,C01,P0,No rows or PPM exist,Row right-click opens context menu,Implement PPM with kebab parity,tables/T22/evidence/T22__assessment-outputs__PPM__unavailable-no-row__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T22-PREVIEW-P01,T22,Assessment,Outputs,PREVIEW,P01,P0,No rows or preview surface exist,A row opens preview,Implement preview together with the table,tables/T22/evidence/T22__assessment-outputs__PREVIEW__unavailable-no-table__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T22-TABLE-T00,T22,Assessment,Outputs,TABLE,T00,P0,No table exists; page only instructs user to select an assessment on Processes,Outputs is a populated list table,Build the reported Outputs table using the canonical table standard,tables/T22/evidence/T22__assessment-outputs__TABLE__default__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T23-KEBAB-K18,T23,Assessment,Reports,KEBAB,K18,P1,160px,Width 220–320px,Use canonical width,tables/T23/evidence/T23__assessment-reports__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
T23-KEBAB-K19,T23,Assessment,Reports,KEBAB,K19,P1,Five items are 28px,Items h=36px,Use h-9 items,tables/T23/evidence/T23__assessment-reports__KEBAB__row-actions__1440x900__sha-94264784f925.png,FAIL,PASS_2_VISUAL_DOM_PARITY_CONFIRMED
